2001,FPNNDD,IFPMDOYKUG,3733673095 Dell Way,,YYXZTIO,,00000,Canada,2,IFPMDOYKUG@dell.com,3733673095,2,1919830322265625,2015/07,user2001,password,77,40000,M
2002,TDFUGV,AGGFDQSLGA,2934143066 Dell Way,,SUKLCAB,,00000,Chile,2,AGGFDQSLGA@dell.com,2934143066,5,8177368164062501,2018/04,user2002,password,56,60000,F
2003,BNQWSB,PENKVISILU,2568572998 Dell Way,,ALIXSOD,,00000,Chile,2,PENKVISILU@dell.com,2568572998,4,4876525878906250,2015/01,user2003,password,18,40000,F
2004,EYMZCF,ZMCDJHJZXC,2182403564 Dell Way,,NBQSEMI,,00000,Australia,2,ZMCDJHJZXC@dell.com,2182403564,1,1423797607421875,2018/09,user2004,password,75,40000,M
2005,OKBLXC,HFFDRCCOKZ,4976776123 Dell Way,,KMYBXSF,,00000,Russia,2,HFFDRCCOKZ@dell.com,4976776123,3,4131652832031250,2016/01,user2005,password,66,60000,M
2006,ZQKLOR,SWJZGKDMVZ,8809356689 Dell Way,,EJQGHKR,,00000,China,2,SWJZGKDMVZ@dell.com,8809356689,4,7219635009765626,2017/10,user2006,password,73,60000,M
2007,TEDIKF,QQNBHZRMEF,6194335937 Dell Way,,TCRPPYQ,,00000,Canada,2,QQNBHZRMEF@dell.com,6194335937,3,1812438964843750,2015/07,user2007,password,48,100000,M
2008,LIOMRJ,PCCNQMUQTI,2301605224 Dell Way,,NWRNZAF,,00000,Australia,2,PCCNQMUQTI@dell.com,2301605224,2,2941833496093750,2017/11,user2008,password,41,80000,M
2009,DFQELW,HKVFVQLFVN,5957580566 Dell Way,,ETXIPSS,,00000,China,2,HKVFVQLFVN@dell.com,5957580566,3,4545288085937500,2015/04,user2009,password,46,60000,M
2010,HRZXUY,QGYXYIOUZK,2645202636 Dell Way,,ZLJNJFO,,00000,Canada,2,QGYXYIOUZK@dell.com,2645202636,1,6467346191406251,2015/12,user2010,password,79,80000,F
2011,UKVBRZ,OWZBVHWEWG,8503112792 Dell Way,,KNPMGCH,,00000,UK,2,OWZBVHWEWG@dell.com,8503112792,2,5457702636718750,2018/04,user2011,password,30,20000,F
2012,WWFDXQ,GZZXZKEPIV,7326477050 Dell Way,,MHWSZGS,,00000,Russia,2,GZZXZKEPIV@dell.com,7326477050,2,4173126220703125,2017/05,user2012,password,31,80000,F
2013,FFPPHY,AXIMMOZKHL,4566986083 Dell Way,,OXDSISR,,00000,UK,2,AXIMMOZKHL@dell.com,4566986083,5,2176361083984375,2018/04,user2013,password,85,60000,M
2014,XMHZLC,KLVRDRXIZW,9331756591 Dell Way,,LGYBXXH,,00000,South Africa,2,KLVRDRXIZW@dell.com,9331756591,1,4936401367187500,2019/12,user2014,password,70,80000,M
2015,LMEWZS,ZYRAIQHJQM,7385528564 Dell Way,,HZMIENS,,00000,South Africa,2,ZYRAIQHJQM@dell.com,7385528564,5,5828491210937501,2016/05,user2015,password,34,100000,F
2016,STUVIN,OGNZGMNTTE,6147644042 Dell Way,,TORCQOJ,,00000,Chile,2,OGNZGMNTTE@dell.com,6147644042,1,4133850097656250,2018/02,user2016,password,42,40000,F
2017,AQJNYS,CVKQOEUBXJ,7695068359 Dell Way,,TFAAQET,,00000,Japan,2,CVKQOEUBXJ@dell.com,7695068359,2,5040496826171875,2017/02,user2017,password,34,100000,F
2018,BGTNAP,ROSZRUGCWZ,8760192871 Dell Way,,UZTTIYN,,00000,Chile,2,ROSZRUGCWZ@dell.com,8760192871,5,1642425537109375,2015/10,user2018,password,45,40000,M
2019,ZOMPVX,OZITSIYZPM,9731933593 Dell Way,,QRSZYRP,,00000,South Africa,2,OZITSIYZPM@dell.com,9731933593,5,1939880371093750,2016/09,user2019,password,56,60000,F
2020,GETKLN,EAMLIZWCDY,5655731201 Dell Way,,NVKNNKW,,00000,Japan,2,EAMLIZWCDY@dell.com,5655731201,2,1839355468750000,2017/04,user2020,password,70,100000,F
